## Burnley FC — Musim 23/24

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
| 27 | Omar Richards | Bek Kiri | 25 | England/Jamaica | Aris Thessaloniki | €5.00m |
| 15 | Harry Toffolo | Bek Kiri | 27 | England/Italy | Charlotte FC | €3.50m |
| 24 | Serge Aurier | Bek Kanan | 30 | Cote d'Ivoire | Pensiun | €8.00m |
| 5 | Orel Mangala | Gelandang Bertahan | 25 | Belgium/DR Congo | Getafe CF | €16.00m |
| 21 | Cheikhou Kouyaté | Gelandang Bertahan | 33 | Senegal/Belgium | Pensiun | €2.00m |
| 8 | Jack Colback | Gelandang Bertahan | 33 | England | Pensiun | €600k |
| 28 | Danilo | Gelandang Tengah | 22 | Brazil | Botafogo | €28.00m |
| 22 | Ryan Yates | Gelandang Tengah | 25 | England | Nottingham Forest | €11.00m |
| - | Lewis O'Brien | Gelandang Tengah | 24 | England | Wrexham AFC | €8.00m |
| 23 | Remo Freuler | Gelandang Tengah | 31 | Switzerland | Olympiacos Piraeus | €8.00m |
| 6 | Jonjo Shelvey | Gelandang Tengah | 31 | England/Ireland | Pensiun | €5.00m |
| 18 | Cafú | Gelandang Tengah | 30 | Portugal/Guinea-Bissau | AEL Limassol | €600k |
| - | Harry Arter | Gelandang Tengah | 33 | Ireland/England | Precision FC | €400k |
| - | Oliver Hammond | Gelandang Tengah | 20 | Wales | Oldham Athletic | €250k |
| - | Billy Fewster | Gelandang Tengah | 19 | England | Cleethorpes Town FC | - |
| - | Alex Gibson-Hammond | Gelandang Kanan | 20 | England | Cheshunt FC | €150k |
| 10 | Morgan Gibbs-White | Gelandang Serang | 23 | England/Jamaica | Nottingham Forest | €40.00m |
| 31 | Gustavo Scarpa | Gelandang Serang | 29 | Brazil/Italy | Clube Atlético Mineiro | €10.00m |
| 11 | Jesse Lingard | Gelandang Serang | 30 | England/St. Vincent | Corinthians | €8.00m |
| 17 | Alex Mighten | Sayap Kiri | 21 | England/United States | San Diego FC | €600k |
| 20 | Brennan Johnson | Sayap Kanan | 22 | Wales/England | Everton FC | €38.00m |
| - | Josh Bowler | Sayap Kanan | 24 | England | Blackpool FC | €1.80m |
| 9 | Taiwo Awoniyi | Penyerang Tengah | 25 | Nigeria | Coventry City | €25.00m |
| 25 | Emmanuel Dennis | Penyerang Tengah | 25 | Nigeria | Bröndby IF | €8.00m |
| 39 | Chris Wood | Penyerang Tengah | 31 | New Zealand | Nottingham Forest | €8.00m |
| 16 | Sam Surridge | Penyerang Tengah | 24 | England | Nashville SC | €5.00m |
